M1 run 3
Target: data/m1-target.bin (64 x 4096 bytes, Btrfs)

$ artifact/Eviction-Notice/primitives/build/read data/m1-target.bin -1
page, time [s]
0000, 0.000001014
0001, 0.000000494
0002, 0.000000344
0003, 0.000000411
0004, 0.000000320
0005, 0.000000348
0006, 0.000000704
0007, 0.000000400
0008, 0.000000332
0009, 0.000000321
0010, 0.000000404
0011, 0.000000408
0012, 0.000000326
0013, 0.000000322
0014, 0.000000318
0015, 0.000000439
0016, 0.000000387
0017, 0.000000333
0018, 0.000000388
0019, 0.000000397
0020, 0.000000331
0021, 0.000000399
0022, 0.000000550
0023, 0.000000337
0024, 0.000000390
0025, 0.000000331
0026, 0.000000396
0027, 0.000000321
0028, 0.000000319
0029, 0.000000395
0030, 0.000000396
0031, 0.000000327
0032, 0.000000336
0033, 0.000000326
0034, 0.000000330
0035, 0.000000390
0036, 0.000000392
0037, 0.000000325
0038, 0.000000692
0039, 0.000000395
0040, 0.000000341
0041, 0.000000319
0042, 0.000000320
0043, 0.000000337
0044, 0.000000336
0045, 0.000000327
0046, 0.000000277
0047, 0.000000321
0048, 0.000000417
0049, 0.000000391
0050, 0.000000328
0051, 0.000000327
0052, 0.000000334
0053, 0.000000326
0054, 0.000000327
0055, 0.000000655
0056, 0.000000332
0057, 0.000000323
0058, 0.000000327
0059, 0.000000315
0060, 0.000000396
0061, 0.000000404
0062, 0.000000392
0063, 0.000000409

exit=0

$ artifact/Eviction-Notice/primitives/build/monitor-preadv2 data/m1-target.bin -1
page, cache
0000,   1
0001,   1
0002,   1
0003,   1
0004,   1
0005,   1
0006,   1
0007,   1
0008,   1
0009,   1
0010,   1
0011,   1
0012,   1
0013,   1
0014,   1
0015,   1
0016,   1
0017,   1
0018,   1
0019,   1
0020,   1
0021,   1
0022,   1
0023,   1
0024,   1
0025,   1
0026,   1
0027,   1
0028,   1
0029,   1
0030,   1
0031,   1
0032,   1
0033,   1
0034,   1
0035,   1
0036,   1
0037,   1
0038,   1
0039,   1
0040,   1
0041,   1
0042,   1
0043,   1
0044,   1
0045,   1
0046,   1
0047,   1
0048,   1
0049,   1
0050,   1
0051,   1
0052,   1
0053,   1
0054,   1
0055,   1
0056,   1
0057,   1
0058,   1
0059,   1
0060,   1
0061,   1
0062,   1
0063,   1

Total: 64
In cache: 64

exit=0

$ artifact/Eviction-Notice/primitives/build/flush data/m1-target.bin -1
page, time [s],  cache
0000, 0.000012911, 1
0001, 0.000002169, 1
0002, 0.000001714, 1
0003, 0.000001233, 1
0004, 0.000001126, 1
0005, 0.000001021, 1
0006, 0.000000895, 0
0007, 0.000000880, 0
0008, 0.000000967, 1
0009, 0.000000947, 1
0010, 0.000000875, 0
0011, 0.000000932, 1
0012, 0.000000897, 0
0013, 0.000001062, 1
0014, 0.000000937, 1
0015, 0.000001185, 1
0016, 0.000001174, 1
0017, 0.000000880, 0
0018, 0.000000966, 1
0019, 0.000000876, 0
0020, 0.000000905, 1
0021, 0.000000899, 0
0022, 0.000000950, 1
0023, 0.000000878, 0
0024, 0.000000958, 1
0025, 0.000000859, 0
0026, 0.000000863, 0
0027, 0.000000928, 1
0028, 0.000000972, 1
0029, 0.000001021, 1
0030, 0.000000966, 1
0031, 0.000000929, 1
0032, 0.000001300, 1
0033, 0.000000882, 0
0034, 0.000010282, 1
0035, 0.000000748, 0
0036, 0.000000946, 1
0037, 0.000000894, 0
0038, 0.000000884, 0
0039, 0.000000812, 0
0040, 0.000000878, 0
0041, 0.000001171, 1
0042, 0.000000856, 0
0043, 0.000000921, 1
0044, 0.000000754, 0
0045, 0.000000713, 0
0046, 0.000000887, 0
0047, 0.000001238, 1
0048, 0.000000730, 0
0049, 0.000000761, 0
0050, 0.000000702, 0
0051, 0.000000703, 0
0052, 0.000000996, 1
0053, 0.000001097, 1
0054, 0.000000790, 0
0055, 0.000000852, 0
0056, 0.000000755, 0
0057, 0.000000886, 0
0058, 0.000000960, 1
0059, 0.000000878, 0
0060, 0.000000887, 0
0061, 0.000000766, 0
0062, 0.000000770, 0
0063, 0.000001014, 1

exit=0

$ artifact/Eviction-Notice/primitives/build/monitor-preadv2 data/m1-target.bin -1
page, cache
0000,   0
0001,   0
0002,   0
0003,   0
0004,   0
0005,   0
0006,   0
0007,   0
0008,   0
0009,   0
0010,   0
0011,   0
0012,   0
0013,   0
0014,   0
0015,   0
0016,   0
0017,   0
0018,   0
0019,   0
0020,   0
0021,   0
0022,   0
0023,   0
0024,   0
0025,   0
0026,   0
0027,   0
0028,   0
0029,   0
0030,   0
0031,   0
0032,   0
0033,   0
0034,   0
0035,   0
0036,   0
0037,   0
0038,   0
0039,   0
0040,   0
0041,   0
0042,   0
0043,   0
0044,   0
0045,   0
0046,   0
0047,   0
0048,   0
0049,   0
0050,   0
0051,   0
0052,   0
0053,   0
0054,   0
0055,   0
0056,   0
0057,   0
0058,   0
0059,   0
0060,   0
0061,   0
0062,   0
0063,   0

Total: 64
In cache: 0

exit=0


