trial_id,timestamp_ns,prediction,monitor_result
1,52716272445,0,not_cached
2,52788105365,1,cached
3,52859029321,0,not_cached
4,52935284497,0,not_cached
5,53005920862,0,not_cached
6,53079046982,0,not_cached
7,53157454160,1,cached
8,53235373172,0,not_cached
9,53309616241,1,cached
10,53394747113,1,cached
11,53477402841,1,cached
12,53562668614,1,cached
13,53644124202,1,cached
14,53718062887,1,cached
15,53797913330,0,not_cached
16,53875977686,0,not_cached
17,53946874623,1,cached
18,54006820438,1,cached
19,54076829402,1,cached
20,54141661642,0,not_cached
21,54214673015,1,cached
22,54299865611,0,not_cached
23,54371545949,1,cached
24,54446940173,0,not_cached
25,54509506963,0,not_cached
26,54567262236,1,cached
27,54628112230,0,not_cached
28,54692448358,1,cached
29,54750771867,1,cached
30,54809755940,1,cached
31,54870057624,1,cached
32,54934533251,0,not_cached
33,55007376014,1,cached
34,55086410571,0,not_cached
35,55144962287,1,cached
36,55203674755,0,not_cached
37,55285580129,0,not_cached
38,55354627855,0,not_cached
39,55436639298,0,not_cached
40,55509989122,1,cached
41,55579798726,0,not_cached
42,55652723877,1,cached
43,55736626189,0,not_cached
44,55813322750,1,cached
45,55894772377,1,cached
46,55969586948,1,cached
47,56028054653,0,not_cached
48,56096650847,0,not_cached
49,56174866241,1,cached
50,56236586566,1,cached
51,56312825899,0,not_cached
52,56393141984,0,not_cached
53,56475520690,1,cached
54,56544040377,0,not_cached
55,56631118840,1,cached
56,56719363364,0,not_cached
57,56804051661,0,not_cached
58,56876487750,0,not_cached
59,56956915148,1,cached
60,57021978989,1,cached
61,57107216015,0,not_cached
62,57185750588,0,not_cached
63,57247852628,0,not_cached
64,57319737782,0,not_cached
65,57392138629,0,not_cached
66,57477227040,1,cached
67,57548650938,0,not_cached
68,57611313019,0,not_cached
69,57676530107,1,cached
70,57744640905,1,cached
71,57815830873,1,cached
72,57878220455,0,not_cached
73,57942218668,1,cached
74,58012085132,1,cached
75,58076164005,0,not_cached
76,58141313739,0,not_cached
77,58208918878,1,cached
78,58284567388,0,not_cached
79,58355857311,0,not_cached
80,58427497221,0,not_cached
81,58491957110,0,not_cached
82,58552120431,0,not_cached
83,58628264193,1,cached
84,58704357988,0,not_cached
85,58791790975,0,not_cached
86,58870552790,1,cached
87,58942329297,0,not_cached
88,59015852038,0,not_cached
89,59079063186,1,cached
90,59138249085,0,not_cached
91,59197150599,1,cached
92,59258628022,0,not_cached
93,59328945468,0,not_cached
94,59404078062,0,not_cached
95,59477188805,0,not_cached
96,59554549258,1,cached
97,59630126067,1,cached
98,59711930378,0,not_cached
99,59792318952,0,not_cached
100,59871829118,1,cached
101,59946331909,1,cached
102,60030975637,1,cached
103,60111381431,0,not_cached
104,60173831077,0,not_cached
105,60231754047,1,cached
106,60308894677,0,not_cached
107,60389937250,1,cached
108,60466596216,0,not_cached
109,60546522007,1,cached
110,60605019199,1,cached
111,60662720735,0,not_cached
112,60723607579,0,not_cached
113,60781058565,1,cached
114,60839499831,1,cached
115,60909063015,1,cached
116,60976158485,0,not_cached
117,61051151787,1,cached
118,61120047115,0,not_cached
119,61190976615,1,cached
120,61274155121,0,not_cached
121,61351988893,0,not_cached
122,61429491735,1,cached
123,61497829478,1,cached
124,61575337730,0,not_cached
125,61653379344,1,cached
126,61723887582,1,cached
127,61797836553,0,not_cached
128,61864628056,1,cached
129,61930764037,0,not_cached
130,61991982114,1,cached
131,62062478133,0,not_cached
132,62136263720,1,cached
133,62212213579,1,cached
134,62291480160,0,not_cached
135,62360285992,0,not_cached
136,62434281189,0,not_cached
137,62506435072,0,not_cached
138,62593264979,1,cached
139,62672501157,0,not_cached
140,62749511500,0,not_cached
141,62830008015,0,not_cached
142,62906129608,0,not_cached
143,62980861321,1,cached
144,63053610326,0,not_cached
145,63129286600,1,cached
146,63202996333,0,not_cached
147,63281354758,0,not_cached
148,63344725001,0,not_cached
149,63405633160,1,cached
150,63463079149,1,cached
151,63525272907,0,not_cached
152,63606070680,1,cached
153,63687640248,1,cached
154,63772227318,1,cached
155,63845526100,1,cached
156,63918413008,1,cached
157,63988083859,1,cached
158,64061478460,0,not_cached
159,64136468882,0,not_cached
160,64213077359,1,cached
161,64287750929,1,cached
162,64363005931,0,not_cached
163,64436373321,1,cached
164,64511370525,1,cached
165,64588792601,0,not_cached
166,64670802684,1,cached
167,64748235110,1,cached
168,64823001556,1,cached
169,64896442385,0,not_cached
170,64975033242,1,cached
171,65060888188,1,cached
172,65139948081,1,cached
173,65217536293,1,cached
174,65287768561,1,cached
175,65363509557,0,not_cached
176,65441202814,0,not_cached
177,65517731512,1,cached
178,65576864034,0,not_cached
179,65653249530,1,cached
180,65736294319,0,not_cached
181,65815770107,1,cached
182,65885075692,1,cached
183,65951745030,1,cached
184,66021768871,1,cached
185,66095223483,1,cached
186,66166334905,1,cached
187,66237089147,1,cached
188,66314114135,1,cached
189,66392822644,1,cached
190,66472659329,0,not_cached
191,66542945858,1,cached
192,66612477235,1,cached
193,66689224226,1,cached
194,66772780245,0,not_cached
195,66850527134,1,cached
196,66921440496,0,not_cached
197,66987764308,0,not_cached
198,67058272434,0,not_cached
199,67137966734,0,not_cached
200,67217341481,1,cached
